ChEMBL_ID,smiles,VSA_EState4,SlogP_VSA3,PNSA1,n5AHRing,PEOE_VSA13,VSA_EState8,piPC10,GGI5,PNSA2,SaaCH,BalabanJ,SlogP_VSA10,FilterItLogS,n6AHRing,PEOE_VSA9,RNCS,SsssN,ZMIC2,Xpc-5dv,PEOE_VSA2,MDEC-33,VSA_EState7,PEOE_VSA7,SRW09,SsCH3,pIC50
CHEMBL60957,Fc1ccc(-c2cncc(CN3CCN(c4cnccn4)CC3)c2)cc1,3.160828673383203,6.544756405912575,257.38903492881093,0.0,0.0,4.6652705191733865,7.0296064175644615,0.625,-475.39544710515975,17.63296194844287,1.1931931548847852,10.208277825509848,-5.227204876466032,1.0,6.196843571613076,30.57667452917571,4.675606367866746,30.331020892599337,1.6939777963361693,14.867866772744893,2.3173152838598483,8.964037139878325,29.32600418877882,0.0,0.0,6.35
CHEMBL1204116,Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(Cl)c1,2.6142432723871085,0.0,439.9082345238462,0.0,0.0,5.503802568867053,5.969985515430857,0.6391666666666667,-646.4657102912812,16.729052067478484,1.8224976766530713e-06,5.687386274683562,-6.232619590526715,1.0,10.710019588424888,0.0,4.976853881470284,39.24961803770463,2.683000741104221,4.899909730850478,3.5962690499447554,1.3405159873228958,42.01918641233062,7.753194269884341,0.0,7.11
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,4.115029237003444,0.0,371.32818257928574,0.0,0.0,4.076557819629909,7.761831453887561,0.6252777777777778,-607.4057356564812,14.156845675513003,1.5375649306886061,17.062158824050687,-4.972066331930064,1.0,11.374772549367124,6.137936699469309,4.72147704606534,31.125852173642976,1.9822525656056644,0.0,6.35979097342112,0.0,37.37950732498524,5.37989735354046,2.163510115759394,6.86
CHEMBL1203260,Cl.c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccn3)CC2)cc1,1.5274273384744166,0.0,287.78808396993475,0.0,0.0,5.776052689594357,5.829864313127279,0.5002777777777778,-455.34203007958854,19.051630132110276,1.5624982675019947e-06,5.817862777835028,-4.331285610843966,1.0,0.0,4.206390124142008,5.03286044973545,33.29222357906109,1.79766314571214,4.899909730850478,2.0273234235234026,3.250823343289974,35.95281934386901,7.753194269884341,0.0,6.58
CHEMBL1202222,Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3)CC2)cc1,2.5517230338412284,0.0,421.82103891122057,0.0,0.0,5.506115066741419,5.9771437421310285,0.7119444444444445,-638.3621077993384,15.16324110313031,1.822497613203243e-06,10.077801322358383,-5.911737208980661,1.0,0.0,3.685242688206461,4.9978083433744205,33.37380345401072,2.1018951841110387,4.899909730850478,3.1024496795392587,1.2391180701313278,60.21828761771545,7.753194269884341,0.0,6.7
CHEMBL2092961,Br.Cc1ccc(N2CCN(CC3CC3c3ccccc3)CC2)c(C)c1,5.732044313696862,0.0,439.5593653302644,0.0,0.0,10.409775618609078,5.969985515430857,0.6391666666666667,-663.6814501248416,17.894718540661557,1.8224976766530713e-06,5.687386274683562,-5.812845278132121,1.0,0.0,2.452611909065042,5.236587301587301,35.434582712361426,2.561267380802192,4.899909730850478,3.5962690499447554,1.3762875922611673,49.29737816648564,7.753194269884341,4.413562965337892,7.22
CHEMBL1202211,Br.COc1cc(Cl)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,2.664046863857366,0.0,382.1013761089387,0.0,0.0,5.541831905601747,6.02269064795479,0.7016666666666668,-708.8151698668071,16.878429843243623,1.9599973424537375e-06,5.687386274683562,-5.748727726106131,1.0,12.797183815961095,1.5724477345820655,5.027519981243526,35.23361594130599,2.352345839259379,4.899909730850478,3.5962690499447554,1.3424948670290482,35.95281934386901,7.753194269884341,1.7105438637040369,7.77
CHEMBL1202213,Br.Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1Cl,2.573375841880983,0.0,404.86630657509806,0.0,0.0,5.448367565647658,5.975716190139843,0.6391666666666668,-608.9410117641346,16.825632046569826,1.822497701628002e-06,5.687386274683562,-6.232619590526715,1.0,15.732652902166215,0.7000023867389782,4.953222789115646,41.2214227265568,2.7881962523605335,4.899909730850478,3.9525779081913015,1.3376477850986328,35.95281934386901,7.753194269884341,0.0,8.7
CHEMBL125455,Clc1ccc(N2CCN(C[C@@H]3C[C@H]3c3ccccc3)CC2)c(Cl)c1,2.6142432723871085,0.0,433.4399890062254,0.0,0.0,5.503802568867053,5.969985515430857,0.6391666666666667,-587.7205271942445,16.729052067478484,1.1842902605040633,5.687386274683562,-5.443252075598128,1.0,10.710019588424888,4.180356425880364,4.976853881470284,36.00865174975981,2.683000741104221,4.899909730850478,3.5962690499447554,1.3405159873228958,42.01918641233062,7.753194269884341,0.0,7.19
CHEMBL1202216,Br.COc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,2.7531406617973184,0.0,386.7679804324442,0.0,0.0,5.719877015621064,5.955027456081286,0.5905555555555556,-722.2364002554526,19.352635186921525,1.82249769555302e-06,5.687386274683562,-5.013072071201946,1.0,12.797183815961095,0.1582710688011329,5.093683390022676,38.14461155693796,2.141632477037218,4.899909730850478,2.799110343236914,1.3578727621417919,35.95281934386901,7.753194269884341,1.7558525056793455,8.3
CHEMBL1202217,Br.COc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,2.805648685371775,0.0,349.21979950083767,0.0,0.0,5.793386085915847,5.962775678864108,0.673888888888889,-634.2122689513981,19.419603299033973,1.8224976483031474e-06,5.687386274683562,-5.013072071201946,1.0,7.109797541277533,63.991671840834094,5.1159478930461075,35.888229013905885,2.033570189737133,4.899909730850478,2.520152510381491,1.3612219527005782,35.95281934386901,7.753194269884341,1.7319874139485778,6.77
CHEMBL1202202,Br.Oc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,2.438417061560897,0.0,455.41061791741294,0.0,0.0,5.290809744007796,6.03667688992953,0.7397222222222223,-830.4706512573312,13.431105599539457,1.9599972934538725e-06,5.687386274683562,-5.793082756913848,1.0,10.710019588424888,188.7866702974414,4.907656541913095,36.7778202637453,2.7422846147910094,4.899909730850478,4.354720364146843,1.2579385118882773,54.15192054925384,7.753194269884341,0.0,7.92
CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0.6671979224721805,5.601050810983688,478.53637062432006,0.0,0.0,2.4140503674048945,5.580437122962544,0.888888888888889,-805.1349303017782,13.087116898603641,1.3244547411942005,4.39041504767482,-5.841358760551157,1.0,5.601050810983688,68.41017865741159,2.2800891632373115,31.674471595246324,2.347588108640038,4.794537184071822,1.6636112809307286,2.5419143929763517,67.76887517715726,0.0,0.0,8.22666666667
CHEMBL1202221,Br.Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,2.7785161336879414,0.0,384.9151098916464,0.0,0.0,5.767980739620951,5.9123198735810485,0.611388888888889,-558.0055241490895,19.204977979807005,1.6899979827274959e-06,5.687386274683562,-5.497418283976004,1.0,0.0,3.0262331580107524,5.081954837490551,37.33282584861208,2.124491036605191,4.899909730850478,2.520152510381491,1.3596436698722953,42.01918641233062,7.753194269884341,0.0,6.84
CHEMBL1202220,Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,2.8193835641940668,0.0,403.7210756005641,0.0,0.0,5.823415742840346,5.9062129843728695,0.611388888888889,-583.9827167428248,19.22105232170332,1.6899979599775565e-06,5.687386274683562,-5.497418283976004,1.0,0.0,3.3547217435375916,5.105585929845189,35.36102115975991,2.0531219838144854,4.899909730850478,2.3441609540526627,1.3625118720965583,48.08555348079223,7.753194269884341,0.0,6.61
CHEMBL1203257,Cl.c1ccc([C@H]2C[C@@H]2CN2CCN(c3ncccn3)CC2)cc1,1.5174273384744166,0.0,293.5016835339361,0.0,0.0,5.55064452632905,5.829864313127279,0.5002777777777778,-491.65376916435827,16.478604450691183,1.5624982675019947e-06,5.948339280986494,-4.10975376210981,1.0,0.0,4.873243125390994,4.893971560846561,30.752081428581967,1.7214078801856343,4.899909730850478,2.0273234235234026,4.998756919370646,29.8864522754074,7.753194269884341,0.0,6.12
CHEMBL1202219,Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccc3Cl)CC2)cc1,2.4356765399742217,0.0,405.32960299593486,0.0,0.0,5.364547002787443,5.969985515430857,0.6286111111111112,-628.9671147296523,15.115969130103226,1.8224976631531033e-06,10.077801322358383,-5.911737208980661,1.0,10.710019588424888,0.0,4.935239703778665,34.27004407919101,2.401532779426748,4.899909730850478,3.5279541012448306,1.232500080470409,48.08555348079223,7.753194269884341,0.0,7.89
CHEMBL1202210,Br.Cc1cc(Cl)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,4.146151470402325,0.0,442.1853176638241,0.0,0.0,7.977962996799578,5.969985515430857,0.6391666666666668,-649.8629997065224,17.245084383758055,1.8224976766530713e-06,5.687386274683562,-6.023356623535421,1.0,0.0,3.751458528180594,5.151882226141486,34.79298628818661,2.6005508836235047,4.899909730850478,3.5962690499447554,1.3616270984340069,54.50637510371824,7.753194269884341,2.1550014773152397,6.89
